,lg_conditional_debate_689,lg_conservative_689,lg_describe_fuse_689,lg_directed_debate_689,lg_option_ranking_689,mode1_cot_689,mode1_qwen_vision_689,mode2_debate_689,mode3_structured_689,mode3b_structured_debate_689,rag_text_689,Single_Agent_MedGemma-1.5-4B_689cases,Single_Agent_Qwen2.5VL-7B_689cases
lg_conditional_debate_689,1.0,0.4052878676319171,0.43135024322167753,0.40245135646377955,0.4047570889501994,0.2795183644660546,0.22472162321285746,0.3466506603787593,0.31587939009098215,0.2790911223544765,0.22304885720015313,0.37776643924459546,0.35929649717531625
lg_conservative_689,0.4052878676319171,1.0,0.4396952743009096,0.3383722880995084,0.40813282240947085,0.23522541261776833,0.23887095521855203,0.3062013937916072,0.297850438149886,0.268247522579487,0.21143085350595334,0.3263891195797023,0.2856805837252902
lg_describe_fuse_689,0.43135024322167753,0.4396952743009096,1.0,0.4114776936162245,0.4167825461385463,0.3036465690605215,0.26020776947197843,0.3617553559991754,0.26603697216861794,0.2946105495638041,0.2512843722158027,0.36435595622763944,0.3990254852797006
lg_directed_debate_689,0.40245135646377955,0.3383722880995084,0.4114776936162245,1.0,0.3293086470936966,0.23400791630482787,0.21228398626249198,0.29546754830278016,0.29092591170424864,0.26432283577827126,0.19186173247662616,0.3289698795578553,0.34861415012042024
lg_option_ranking_689,0.4047570889501994,0.40813282240947085,0.4167825461385463,0.3293086470936966,1.0,0.21106995336005932,0.2626452259539709,0.34931306537339024,0.21920858358003742,0.29343369070770586,0.153110348956626,0.2350684878599932,0.32143160077556665
mode1_cot_689,0.2795183644660546,0.23522541261776833,0.3036465690605215,0.23400791630482787,0.21106995336005932,1.0,0.2196725198379069,0.35093332317102466,0.2608616288467549,0.2674615653193675,0.39511701676213756,0.3630606131488734,0.27344368613758874
mode1_qwen_vision_689,0.22472162321285746,0.23887095521855203,0.26020776947197843,0.21228398626249198,0.2626452259539709,0.2196725198379069,1.0,0.25257813359106385,0.23288334221116563,0.19887603703918724,0.18550765121046373,0.19406372352601406,0.33025483936595784
mode2_debate_689,0.3466506603787593,0.3062013937916072,0.3617553559991754,0.29546754830278016,0.34931306537339024,0.35093332317102466,0.25257813359106385,1.0,0.22428575496422173,0.2442715835452527,0.23930439958907734,0.3846750496960947,0.26996134441715036
mode3_structured_689,0.31587939009098215,0.297850438149886,0.26603697216861794,0.29092591170424864,0.21920858358003742,0.2608616288467549,0.23288334221116563,0.22428575496422173,1.0,0.2636287983713108,0.2297997390505079,0.2816988269873844,0.2084904917930589
mode3b_structured_debate_689,0.2790911223544765,0.268247522579487,0.2946105495638041,0.26432283577827126,0.29343369070770586,0.2674615653193675,0.19887603703918724,0.2442715835452527,0.2636287983713108,1.0,0.21585256242338025,0.2773120800619334,0.22064370406744319
rag_text_689,0.22304885720015313,0.21143085350595334,0.2512843722158027,0.19186173247662616,0.153110348956626,0.39511701676213756,0.18550765121046373,0.23930439958907734,0.2297997390505079,0.21585256242338025,1.0,0.29563275604159084,0.1767495504831664
Single_Agent_MedGemma-1.5-4B_689cases,0.37776643924459546,0.3263891195797023,0.36435595622763944,0.3289698795578553,0.2350684878599932,0.3630606131488734,0.19406372352601406,0.3846750496960947,0.2816988269873844,0.2773120800619334,0.29563275604159084,1.0,0.3080186737041969
Single_Agent_Qwen2.5VL-7B_689cases,0.35929649717531625,0.2856805837252902,0.3990254852797006,0.34861415012042024,0.32143160077556665,0.27344368613758874,0.33025483936595784,0.26996134441715036,0.2084904917930589,0.22064370406744319,0.1767495504831664,0.3080186737041969,1.0
