comparison,experiment_a,experiment_b,n_common,accuracy_a,accuracy_b,diff_b_minus_a,diff_b_minus_a_pp,ci_lower_pp,ci_upper_pp,both_right,a_only,b_only,both_wrong,discordant,p_value,p_bonferroni,p_bh_fdr,sig_uncorrected,sig_bonferroni,sig_bh_fdr
lg_conditional_debate_689 vs rag_text_689,lg_conditional_debate_689,rag_text_689,689,0.5094339622641509,0.37010159651669083,-0.1393323657474601,-13.933236574746012,-18.43251088534108,-9.288824383164007,167,184,88,250,272,5.896000944370901e-09,4.5988807366093025e-07,4.5988807366093025e-07,***,***,***
lg_option_ranking_689 vs rag_text_689,lg_option_ranking_689,rag_text_689,689,0.5079825834542816,0.37010159651669083,-0.13788098693759077,-13.788098693759077,-18.432510885341074,-8.998548621190134,155,195,100,239,295,3.4018915436332364e-08,2.6534754040339243e-06,1.3267377020169622e-06,***,***,***
lg_describe_fuse_689 vs rag_text_689,lg_describe_fuse_689,rag_text_689,689,0.4949201741654572,0.37010159651669083,-0.12481857764876636,-12.481857764876636,-16.835994194484766,-7.982583454281567,168,173,87,261,260,1.045765008153669e-07,8.156967063598618e-06,2.7189890211995394e-06,***,***,***
lg_conservative_689 vs rag_text_689,lg_conservative_689,rag_text_689,689,0.4934687953555878,0.37010159651669083,-0.12336719883889696,-12.336719883889696,-16.9811320754717,-7.688679245283067,161,179,94,255,273,2.993506335951297e-07,2.3349349420420115e-05,5.837337355105029e-06,***,***,***
Single_Agent_Qwen2.5VL-7B_689cases vs rag_text_689,Single_Agent_Qwen2.5VL-7B_689cases,rag_text_689,689,0.4847605224963715,0.37010159651669083,-0.11465892597968069,-11.46589259796807,-16.110304789550074,-6.8178519593614455,153,181,102,253,283,3.08010543281994e-06,0.00024024822375995532,4.371172483832304e-05,***,***,***
lg_option_ranking_689 vs mode1_qwen_vision_689,lg_option_ranking_689,mode1_qwen_vision_689,689,0.5079825834542816,0.3991291727140784,-0.10885341074020322,-10.885341074020321,-15.239477503628446,-6.386066763425252,184,166,91,248,257,3.3624403721786953e-06,0.00026227034902993825,4.371172483832304e-05,***,***,***
lg_conditional_debate_689 vs mode1_qwen_vision_689,lg_conditional_debate_689,mode1_qwen_vision_689,689,0.5094339622641509,0.3991291727140784,-0.11030478955007256,-11.030478955007256,-15.529753265602325,-6.386066763425258,178,173,97,241,270,4.366976252479203e-06,0.0003406241476933778,4.86605925276254e-05,***,***,***
Single_Agent_MedGemma-1.5-4B_689cases vs rag_text_689,Single_Agent_MedGemma-1.5-4B_689cases,rag_text_689,689,0.4702467343976778,0.37010159651669083,-0.10014513788098695,-10.014513788098695,-14.368650217706824,-5.66037735849057,169,155,86,279,241,1.0402337868130974e-05,0.0008113823537142159,0.00010142279421427699,***,***,***
lg_conditional_debate_689 vs mode1_cot_689,lg_conditional_debate_689,mode1_cot_689,689,0.5094339622641509,0.409288824383164,-0.10014513788098695,-10.014513788098695,-14.368650217706824,-5.515239477503631,191,160,91,247,251,1.5771171236269252e-05,0.0012301513564290016,0.00013668348404766685,***,**,***
lg_describe_fuse_689 vs mode1_qwen_vision_689,lg_describe_fuse_689,mode1_qwen_vision_689,689,0.4949201741654572,0.3991291727140784,-0.09579100145137881,-9.57910014513788,-14.078374455732945,-5.079825834542817,180,161,95,253,256,4.436319680863443e-05,0.0034603293510734852,0.0003205059789741927,***,**,***
lg_option_ranking_689 vs mode1_cot_689,lg_option_ranking_689,mode1_cot_689,689,0.5079825834542816,0.409288824383164,-0.0986937590711176,-9.86937590711176,-14.513788098693754,-5.221335268505125,179,171,103,236,274,4.762702674290707e-05,0.0037149080859467517,0.0003205059789741927,***,**,***
