"image_id","question","ground_truth","predicted","correct","agent_output","running_accuracy"
"13","This 36-year-old man has undergone renal transplantation and parathyroidectomy. What is the most likely cause of the changes in his hands?","A","A","correct","ANSWER: A
REASONING: The patient's history of renal transplantation and parathyroidectomy suggests hyperparathyroidism, which often leads to pseudoclubbing, a condition where the metacarpal bones extend beyond the level of the distal phalanges, making the fingers appear bulbous. The image shows the thickening and swelling of the digits which aligns with pseudoclubbing seen in hyperparathyroidism.","1"
"556","A 48-year-old woman who lived in rural India presented with diarrhea, weight loss, and a rash. Physical examination showed well-demarcated areas of hyperpigmentation on the sun-exposed areas of her neck, chest, and forearms. What is the most likely diagnosis?","B","B","correct","ANSWER: B
REASONING: The patient's presentation of diarrhea, weight loss, and well-demarcated hyperpigmented areas on sun-exposed skin is characteristic of Pellagra, which often presents with these signs. The hyperpigmentation is likely due to the dermatitis associated with pellagra.","1"
"381","A 40-year-old man with neurofibromatosis type 1 presented for a yearly eye exam and was found to have multiple well-defined, light-brown nodules elevated above the iris bilaterally. What is the most likely diagnosis?","C","C","correct","ANSWER: C
REASONING: The clinical history of neurofibromatosis type 1, combined with the image showing well-defined, light-brown, nodular elevations on the iris, strongly points towards Lisch nodules. These nodules are characteristic of neurofibromatosis and commonly present in patients with this condition.","1"
"695","A 27-year-old man with a history of obesity presented to the dermatology clinic with an asymptomatic rash on his back, arms, and hands that had developed 1 week earlier. On physical examination, scattered pink-yellow papules were present on the upper back, extensor surfaces of the upper arms, and dorsa of the hands. A fasting blood sample was grossly lipemic. Which of the following is the most likely diagnosis?","A","A","correct","ANSWER: A
REASONING: The clinical history of obesity and asymptomatic rash on the back, arms, and hands, along with the appearance of pink-yellow papules, is indicative of eruptive xanthomas. These are commonly seen in patients with obesity and often accompany lipemia in the blood. The presence of a lipemic fasting blood test further supports this diagnosis, as it is a characteristic finding in lipoprotein disorders.","1"
"791","A 46-year-old woman receiving atezolizumab for bladder cancer presented to the ophthalmology clinic with a 7-day history of pain, photophobia, and blurring of vision in both eyes. Slit-lamp examination showed conjunctival redness, pseudomembrane formation, and corneal epithelial damage. What is the diagnosis?","A","D","wrong","ANSWER: D
REASONING: The patient's symptoms of pain, photophobia, blurring of vision, and the image showing corneal epithelial damage and pseudomembrane formation with conjunctival involvement are consistent with the clinical presentation of Acanthamoeba keratitis, a condition that can occur in patients on certain immuno-inhibitory therapy. The image shows the characteristic pseudomembrane indicative of the condition, which further supports the diagnosis over pseudomonas keratitis, which typically presents with purulent discharge and does not form pseudomembranes.","0.8"
"246","A previously healthy 42-year-old woman presented to the dental clinic with a 6-month history of swelling and pain on the right side of her chin (left). She reported no history of chin trauma, tooth pain, or fevers, but did recall injuring her right lateral incisor 10 years prior. Palpation of the lesion caused pain and serosanguinous fluid drainage. Intra-oral examination showed discoloration of the right lateral mandibular incisor (right). What is the most likely diagnosis?","A","A","correct","ANSWER: A
REASONING: The patient's history of injury to her lateral incisor 10 years ago and the presence of a cutaneous lesion with serosanguinous drainage are characteristic of an Odontogenic cutaneous fistula, which often develops from dental origin. The image shows a lesion in proximity to the tooth, supporting this diagnosis.","0.833"
"760","A 29-year-old male presented with a 6-month history of progressive painless skin lesions over his face, back, trunk, and limbs. He had no systemic symptoms such as night sweats or weight loss. Skin biopsy showed diffuse dermal infiltrate with blast-like cells extending to the hypodermis. Immunohistochemical analysis showed cells that were positive for CD4, CD56, and CD123. What is the diagnosis?","C","C","correct","ANSWER: C
REASONING: The image shows large, erythematous macules and large, palpably subcutaneous mass-like plaques with a violaceous hue, which are indicative of a blastic plasmacytoid dendritic-cell neoplasm. The clinical history of progressive, painless skin lesions with biopsy results showing blast-like cells and positivity for CD4, CD56, and CD123 further support this diagnosis, as the CD123 marker is primarily associated with blastic plasmacytoid dendritic cells.","0.857"
"738","A 61-year-old woman presented with discoloration along her gums that had rapidly expanded over the past year. What is the diagnosis?","B","B","correct","ANSWER: B
REASONING: The rapid expansion of discoloration along the gums in a patient with recent changes in appearance is concerning. The image shows blackish, irregular patches, which is a characteristic feature of gingival melanoma, a form of cancer affecting the gums. The clinical history of rapid progression aligns with the aggressive nature of melanoma.","0.875"
"846","Which of the following is incorrect statement related to painful vesicular toe rash of 3 months' duration?","E","C","wrong","Answer: C
REASONING: The clinical image displays a painful vesicular rash on the toe, consistent with a reaction possibly related to a dermatological issue. While transmission via contaminated water contact is feasible, it is less likely to be localized to only that site. More concerning are the systemic and lymphatic spread which can occur with certain infections, supporting the transmission via contact with contaminated soil, which is a possible exposure mechanism. Thus, option C stands out as incorrect based on typical transmission routes.","0.778"
"427","What medication is most likely to be responsible for the finding in this woman's hair?","B","B","correct","ANSWER: B
REASONING: The image shows diffuse hair thinning and a patchy loss pattern, common in patients taking chronic chloroquine. Chloroquine is known to cause alopecia, predominantly affecting the scalp, similar to the areas observed in the image. Unlike the other options provided, chloroquine has a well-documented association with hair thinning and loss.","0.8"
"313","What diagnosis is suggested by this fundus photograph from a 5-month-old girl?","E","D","wrong","ANSWER: D
REASONING: The retinal biopsy image displays an area of disorganized and abnormal growth of cells and blood vessels, characteristic of retinoblastoma, a malignant tumor of the retina. This matches the clinical presentation where a 5-month-old girl may present with signs of retinoblastoma, such as leukocoria (white appearance of the eye) and signs of retinal bleeding. Therefore, retinoblastoma is the most plausible diagnosis in this case.","0.727"
"4","What is the most likely diagnosis in this 65-year-old woman with a 7-day history of throat pain and difficulty swallowing?","A","D","wrong","ANSWER: D
REASONING: The history of throat pain and difficulty swallowing is suggestive of a retropharyngeal abscess, and the X-ray reveals swelling of the retropharyngeal space, which corresponds to the radiographic marker of this diagnosis.","0.667"
"216","A 23-year-old woman presented with a 1-month history of headache, syncope, weight gain. Physical examination revealed hypertrophic appearance of the thigh and calf muscles, and imaging of her thighs is shown. What is the diagnosis?","D","B","wrong","ANSWER: B
REASONING: The patient presents with symptoms of headache, syncope, and weight gain, possibly related to a metabolic disorder or parasitic disease. The image shows a hyperintense, nodular lesion in the thigh muscles, which is characteristic of an echinococcus larva. Echinococcus granulosus is a cestode parasite that causes echinococcosis, which can present as cysts in soft tissues, including muscular compartments. This is supported by the clinical presentation and imaging findings.","0.615"
"779","This patient with chronic alcoholism presented with dysarthria and horizontal nystagmus. What is the diagnosis?","B","B","correct","ANSWER: B
REASONING: The patient's history of chronic alcoholism and symptoms of dysarthria and horizontal nystagmus align with the findings of central pontine myelinolysis, a condition often seen in individuals recovering from alcohol withdrawal. The image shows abnormal signal intensity in the pons, which is consistent with demyelination affecting the central pons.","0.643"
"871","Which one of the following medications is most likely to be responsible for this appearance?","C","C","correct","ANSWER: C
REASONING: The patient's history of cancer and the appearance of necrotic patches on the tongue and gums strongly suggest a complication from chemotherapy, particularly Doxorubicin, which can cause geographic tongue (geographic erythema) and other oral mucositis symptoms. While Efavirenz and clarithromycin are known for inducing oral pemphigus, the pattern does not match those conditions. Dexamethasone and iron supplements (ferrous sulfate) are unlikely to cause such distinct necrotic lesions with purple and white borders.","0.667"
"673","A 69-year-old man presented with progressive neutropenia and anemia and this result of his bone marrow aspiration. What is the diagnosis?","A","A","correct","ANSWER: A
REASONING: The bone marrow aspirate image shows morphologic features of blast cells, such as abnormal lymphoid appearance and the presence of prominent perinuclear clearing (Dohle's bodies). These findings, combined with the clinical history of neutropenia and anemia, are highly consistent with Acute Promyelocytic Leukemia (APL).","0.688"
"62","In addition to neurofibromatosis, what other examination finding would you expect for this patient?","C","C","correct","ANSWER: C
REASONING: The image shows café-au-lait spots on the patient's legs, which are hallmarks of neurofibromatosis, a condition associated with café-au-lait spots and Lisch nodules. Additionally, Lisch nodules are benign hamartomas of the iris associated with neurofibromatosis, so their presence would be expected in the clinical history.","0.706"
"882","A 29-year-old man with a history of aplastic anemia, who was being treated with cyclosporine, presented to the emergency department with a 4-day history of fever, cough, and difficulty breathing at rest. One day before the onset of symptoms, a pruritic rash had developed on his face, trunk, and limbs. On physical examination, he had a diffuse rash at different stages of development, including papules, vesicles, pustules, and crusted vesicles. What is the diagnosis?","B","D","wrong","ANSWER: D
REASONING: The clinical history of fever, cough, difficulty breathing, and a diffuse rash including papules, vesicles, pustules, and crusted vesicles is highly suggestive of drug-induced hypersensitivity syndrome. The rash developing after being treated with cyclosporine, a well-known immunomodulatory drug, aligns with the pathophysiology of this condition. The presence of different stages of rash involvement also supports the diagnosis of an evolving hypersensitivity reaction.","0.667"
"255","A 73-year-old woman presented to the emergency department with difficulty in speaking, which had progressively worsened over a period of 4 days. Physical examination showed a large, fluctuant, painless swelling of the anterior floor of the mouth. Contrast-enhanced computed tomography of the neck is shown. What is the diagnosis?","A","A","correct","ANSWER: A
REASONING: The clinical history of a large, fluctuant, painless swelling of the anterior floor of the mouth, coupled with the image showing a large, complex cystic lesion with areas of calcification and air spaces, is most consistent with a sublingual epidermoid cyst. These cysts are typically found on the floor of the mouth and can sometimes contain cholesterol crystals and gas, which are seen as the complex structures and air spaces in the image.","0.684"
"472","A 53-year-old man presented with dull, aching pain in his right nipple. What is the diagnosis?","B","B","correct","ANSWER: B
REASONING: The clinical history of dull, aching pain in the right nipple and the medical image showing a linear area of discolored skin along the superficial fascia of the arm are characteristic findings of Mondor's disease, which is characterized by a cord-like, painful swelling along superficial veins in the upper extremity, often with a linear discoloration of the skin overlying the affected vein.","0.7"
"123","A 13-year-old girl presented with new onset blurry vision in the left eye associated with painful eye movements. Three weeks earlier, weakness and paresthesias had developed in her left leg that spontaneously resolved. When a light was swung from the normal right eye (Panel A) to the affected left eye, the left pupil dilated (Panel B) – a finding known as a relative afferent pupillary defect. Fundoscopic examination of both eyes was normal. Examination of the brain and whole spine by means of magnetic resonance imaging showed multiple, oblong hyperintense lesions on T2-weighted images. What is the most likely etiology?","D","D","correct","ANSWER: D
REASONING: The patient's symptoms of blurry vision, painful eye movements, and a relative afferent pupillary defect are consistent with multiple sclerosis, which can present with optic neuritis and optic nerve inflammation leading to vision loss and changes in the afferent pupils. The hyperintense lesions on T2-weighted images are indicative of demyelination lesions, a hallmark of multiple sclerosis.","0.714"
"277","This patient presented with loss of vision. What is the diagnosis?","A","B","wrong","ANSWER: B
REASONING: The image shows retinal hemorrhages and microaneurysms, which are classic findings in diabetic retinopathy. The patient's loss of vision is consistent with vision impairment caused by diabetic retinopathy.","0.682"
"9","A 48-year-old man presented to the ophthalmology clinic with a 1-week history of pain, double vision, and blurred vision in his left eye. What is the abnormality depicted here?","A","C","wrong","ANSWER: C
REASONING: The image shows a significant separation of the lens material, indicating a posterior lens dislocation, which is accompanied by pain, double vision, and blurred vision. The clinical history supports this diagnosis as these are common presenting symptoms for such a condition.","0.652"
"774","A 65-year-old man presented with skin lesions six weeks after returning from a vacation in Belize at the beach and in the rain forest. What is the diagnosis?","A","E","wrong","ANSWER: E
REASONING: The image displays a cutaneous lesion with a central black dot, which is characteristic of a tunga pedicularis infection. The patient's history of travel to tropical regions, including both beach and rainforest areas, supports the likelihood of exposure to the Tunga pygmaea parasitic larvae, which usually reside on the sand and can penetrate the skin after immersion in contaminated water.","0.625"
"804","A 34-year-old woman presented with a 3-year history of changes in skin color. Examination was notable for hypopigmented macules on a background of hyperpigmentation, creating a raindrop-like appearance on the chest and back. Neighbors who drank water from the same well had similar skin changes. What is the most likely diagnosis?","A","A","correct","ANSWER: A
REASONING: The clinical history of hypopigmented macules on hyperpigmented skin in someone whose neighbors also experienced similar changes, combined with a known association of ars Michelle toxicity with this appearance on the skin, strongly supports the diagnosis of arsenic toxicity.","0.64"
"892","What laboratory evaluation is most likely to be abnormal in this 10-year-old patient who also had discrete facial erythema?","B","C","wrong","ANSWER: C
REASONING: The image shows a patient with widespread, symmetric hand rash, which can be associated with various inflammatory or autoimmune conditions. Given the clinical history and the erythema across the trunk and on the hands, rheumatic symptoms like erythema should be considered. Rheumatoid factor is a marker associated with conditions like rheumatoid arthritis, which could explain both the facial erythema and the cutaneous findings. Therefore, the most likely abnormal laboratory test to be found is the rheumatoid factor, supporting rheumatoid arthritis as a likely diagnosis.","0.615"
"717","A 5-year-old boy from China with a history of IgA vasculitis at 2 years of age presented with a 1-month history of progressively painful skin ulcerations on his extremities. Two months prior, he had had an episode of nasal pustules that had not responded to antimicrobial therapy or surgical débridement, but had ultimately improved with 2 days of systemic glucocorticoid therapy. At the current presentation, laboratory and radiographic studies showed no signs of underlying systemic disease, such as cancer, inflammatory bowel disease, or autoimmune conditions. Biopsy samples from the lesions showed a dense neutrophilic infiltrate with negative tissue cultures. What is the diagnosis?","E","E","correct","ANSWER: E
REASONING: The clinical history of a 5-year-old boy presenting with painful, progressive skin ulcerations on his extremities, combined with the image findings of large, shallow ulcers with rolled edges and a purulent exudate, are characteristic of pyoderma gangrenosum. The association with nasal pustules and improvement with systemic glucocorticoid therapy also aligns with this diagnosis rather than infections or necrotizing vasculitides.","0.63"
"444","A 23-year-old man presented with a 1-month history of double vision and right eyelid drooping that worsened at the end of the day. On examination, manual raising of the ptotic right eyelid resulted in dropping of the left eyelid. What is the most likely diagnosis?","E","E","correct","ANSWER: E
REASONING: The clinical history of double vision and ptosis (eyelid drooping) with the phenomenon of relative diplopia (dropping of the contralateral eyelid during attempted lid elevation) in response to manual raising is characteristic of a Lambert-Eaton myasthenic syndrome, most commonly associated with myasthenia gravis. The image shows ptosis, which is present in both eyes, but the patient describes an asymmetry, which could be further investigated. Therefore, myasthenia gravis is the most likely diagnosis.","0.643"
"370","A male neonate with an antenatal diagnosis of Ebstein’s anomaly had respiratory distress with low oxygen saturation immediately after birth at 35 weeks of gestation. He was intubated and received infusions of alprostadil and dobutamine. On the third day of life, a clearly demarcated erythema developed on one side of the body as shown in the image. During this episode, the physical examination was otherwise unremarkable, with no changes in vital signs. What is the most likely diagnosis?","C","C","correct","ANSWER: C
REASONING: The clinical history reveals significant cardiorespiratory instability and a clear onset of a single side body discoloration, which is suggestive of systemic hypoperfusion. This presentation is consistent with a hypoperfused limb being temporarily turned to the opposite normal perfused condition due to a congenital anomaly. The image shows a localized discoloration, likely representing a sudden vasodilation in a previously hypoperfused limb. This pattern strongly suggests infant harlequin syndrome, where one extremity appears pale while the rest remains congested and hyperemic.","0.655"
"849","What is the diagnosis in this asymptomatic male from North Africa?","A","A","correct","ANSWER: A
REASONING: The clinical history of the patient being from North Africa, where cutaneous leishmaniasis is endemic, combined with the presence of ulceration under the nail, is highly suggestive of the clinical presentation of this disease. The image shows a well-defined ulceration under the ingrown toenail, a common presentation in cutaneous leishmaniasis.","0.667"
"235","A 34-year-old man was admitted to the hospital with diabetic ketoacidosis. He reported having had blurry vision, increasing shoe size, and a change in his facial features over the past several years. On exam, he was found to have bitemporal hemianopsia. Which of the following is the most likely cause of his presentation?","E","E","correct","ANSWER: E
REASONING: The clinical history of increasing shoe size and changes in facial features, combined with the image showing prominent facial features such as a broad nose and large lips, is most consistent with somatotropic pituitary adenoma, which can cause acromegaly due to excessive growth hormone production.","0.677"
"917","What is the diagnosis in this 36-year-old male?","E","D","wrong","ANSWER: D
REASONING: The echocardiographic image demonstrates thickening of the ventricular walls, which is characteristic of hypertrophic cardiomyopathy (HCM). The lack of pericardial effusion or other features that would suggest amyloidosis, beriberi, or sarcoidosis makes HCM the most likely diagnosis for this patient. The clinical presentation of HCM could include sudden death, arrhythmias, or heart failure.","0.656"
"586","A 27-year-old man presented to the emergency department with abdominal pain in the left upper quadrant and a pulsatile, painful lesion on the right hand. He reported a 6-week history of fevers, decreased appetite, and night sweats and a weight loss of 12 kg. Physical examination was notable for a temperature of 38.5 degrees Celsius and a grade 3/6 diastolic murmur throughout the precordium. Laboratory studies revealed a white-cell count of 18,000 per cubic millimeter. CT angiography of the right arm revealed an aneurysm of the ulnar artery. What is the diagnosis?","C","E","wrong","ANSWER: E
REASONING: The clinical presentation of abdominal pain, weight loss, fever, and a diastolic murmur along with a diagnosis of aneurysm of the ulnar artery, which often presents with these findings, points towards Kawasaki disease. The absence of joint symptoms and the systemic features favor Kawasaki disease over infective endocarditis, which typically presents with more specific cardiac findings.","0.636"
"473","A 35-year-old man with IgA nephropathy presented with confusion, blurry vision, and seizures. Two weeks before presentation, he had started receiving cyclosporine. Physical examination was notable for a blood pressure of 160/80 mm Hg, drowsiness, and decreased visual acuity. A fundoscopic examination was normal. T2-weighted magnetic resonance imaging (MRI) with fluid-attenuated inversion recovery sequencing of the head was performed. What is the most likely diagnosis?","D","D","correct","ANSWER: D
REASONING: The clinical presentation of seizures, confusion, and blurry vision in a patient with IgA nephropathy starting cyclosporine therapy, along with the pattern of bilateral symmetric hyperintensities on T2-weighted MRI with fluid-attenuated inversion recovery, are consistent with the hallmark findings of posterior reversible encephalopathy syndrome (PRES), which is characterized by reversible encephalopathy due to elevated blood pressure or certain drugs like cyclosporine.","0.647"
"719","A 53-year-old woman presented with pain, swelling, and discoloration of her right fifth finger. Physical examination showed a demarcated, brightly erythematous plaque with a dusky center. What is the most likely diagnosis?","D","A","wrong","ANSWER: A
REASONING: The presence of a demarcated, brightly erythematous plaque with a dusky center along with the patient's age and complaint of pain, swelling, and discoloration of the right fifth finger aligns with the clinical features of dactylitis, which is typically seen in seronegative spondyloarthropathy, such as psoriatic arthritis in this case.","0.629"
"20","A 68-year-old woman presented to clinic with a 40-year history of worsening hyperkeratotic non-painful, non-pruritic papules and plaques on her hands and feet. Her mother, son, and granddaughter had similar lesions. What is the diagnosis?","B","B","correct","ANSWER: B
REASONING: The clinical history reveals a 40-year history of hyperkeratotic non-painful, non-pruritic papules and plaques on the hands and feet, which is highly characteristic of Punctate Palmoplantar Keratoderma (PPK). The image demonstrates the typical multiple circular to oval hyperkeratotic papules and plaques with an exclamation mark shape seen over the hands and feet, confirming the diagnosis. Additionally, the positive family history supports the genetic nature of this condition.","0.639"
"494","A 67-year-old man presented with a 1-year history of bilateral eye swelling and right eye protrusion and a 2-week history of blurry vision. There was no swelling of the parotid or submandibular glands. MRI of the orbits showed bilateral lacrimal gland and lateral rectus muscle swelling as well as mass lesions surrounding the optic nerves. He was initiated on daily prednisone with improvement in his symptoms. What is the diagnosis?","A","A","correct","ANSWER: A
REASONING: The clinical presentation of bilateral eye swelling, right eye protrusion, and mass lesions surrounding the optic nerves, along with a positive response to treatment with glucocorticoids, are consistent with IgG4-related ophthalmic disease. The MRI findings of lacrimal gland and lateral rectus muscle swelling further support this diagnosis.","0.649"
"829","What diagnosis is suggested by this corneal photograph?","D","D","correct","ANSWER: D
REAONING: The image shows corneal vascularization and superficial punctate epithelial keratitis, which are consistent with the characteristic presentation of herpes simplex virus (HSV) keratitis. Although HSV can present with other ocular manifestations, the primary eye care specialist should consider this diagnosis and conduct a herpes simplex PCR or HSV specific staining to confirm the diagnosis.","0.658"
"529","An 8-month-old girl presented with strabismus and developmental delay. On examination, she was noted to have macrocephaly, intermittent exotropia in the left eye, and hypotonia. Fundoscopic exam results are shown in the image. MRI of the brain revealed inadequate myelination diffusely and a thin corpus callosum. What is the diagnosis?","E","E","correct","ANSWER: E
REASONING: The clinical presentation with macrocephaly, intermittent exotropia, hypotonia, and specific fundoscopic findings of optic atrophy supports the diagnosis of Tay-Sachs disease, which presents with accumulation of gangliosides due to deficiency of the glucocerebrosidase enzyme, leading to central nervous system dysfunction characterized by the features mentioned. The fundoscopic exam shows optic atrophy common to Tay-Sachs disease.","0.667"
